Name,Owner,Stars,Forks,Last Updated,License,URL
JavaGuide,Snailclimb,148647,45752,2025-03-11T11:44:19Z,Apache License 2.0,https://github.com/Snailclimb/JavaGuide
hello-algo,krahets,110015,13693,2025-03-11T08:56:34Z,Other,https://github.com/krahets/hello-algo
java-design-patterns,iluwatar,90978,26841,2025-03-11T19:47:43Z,Other,https://github.com/iluwatar/java-design-patterns
mall,macrozheng,79424,29074,2025-03-10T08:32:04Z,Apache License 2.0,https://github.com/macrozheng/mall
advanced-java,doocs,77213,19161,2025-03-10T22:25:04Z,Creative Commons Attribution Share Alike 4.0 International,https://github.com/doocs/advanced-java
spring-boot,spring-projects,76416,40982,2025-03-12T15:49:57Z,Apache License 2.0,https://github.com/spring-projects/spring-boot
LeetCodeAnimation,MisterBooo,75759,13980,2023-08-14T12:14:01Z,N/A,https://github.com/MisterBooo/LeetCodeAnimation
elasticsearch,elastic,71958,25121,2025-03-12T19:01:42Z,Other,https://github.com/elastic/elasticsearch
interviews,kdn251,64008,12916,2024-05-13T08:48:36Z,MIT License,https://github.com/kdn251/interviews
Java,TheAlgorithms,61053,19732,2025-03-12T16:35:21Z,MIT License,https://github.com/TheAlgorithms/Java
spring-framework,spring-projects,57526,38416,2025-03-12T14:14:20Z,Apache License 2.0,https://github.com/spring-projects/spring-framework
ghidra,NationalSecurityAgency,55270,6203,2025-03-12T17:03:29Z,Apache License 2.0,https://github.com/NationalSecurityAgency/ghidra
Stirling-PDF,Stirling-Tools,53902,4455,2025-03-12T15:58:49Z,MIT License,https://github.com/Stirling-Tools/Stirling-PDF
guava,google,50576,10965,2025-03-11T20:51:38Z,Apache License 2.0,https://github.com/google/guava
RxJava,ReactiveX,48041,7606,2025-03-10T08:34:15Z,Apache License 2.0,https://github.com/ReactiveX/RxJava
jadx,skylot,43125,5006,2025-03-11T21:58:12Z,Apache License 2.0,https://github.com/skylot/jadx
dbeaver,dbeaver,42197,3596,2025-03-12T19:07:36Z,Apache License 2.0,https://github.com/dbeaver/dbeaver
JeecgBoot,jeecgboot,41806,15139,2025-03-12T07:28:44Z,Apache License 2.0,https://github.com/jeecgboot/JeecgBoot
dubbo,apache,40793,26502,2025-03-12T01:50:36Z,Apache License 2.0,https://github.com/apache/dubbo
termux-app,termux,39618,4250,2025-01-24T21:32:02Z,Other,https://github.com/termux/termux-app
MPAndroidChart,PhilJay,37858,9036,2024-08-20T14:01:30Z,Other,https://github.com/PhilJay/MPAndroidChart
tutorials,eugenp,37070,54407,2025-03-12T16:24:52Z,MIT License,https://github.com/eugenp/tutorials
arthas,alibaba,36044,7532,2025-03-12T02:52:54Z,Apache License 2.0,https://github.com/alibaba/arthas
hello-algorithm,geekxh,35503,6467,2023-06-13T04:13:17Z,N/A,https://github.com/geekxh/hello-algorithm
lottie-android,airbnb,35228,5438,2025-03-04T01:41:10Z,Apache License 2.0,https://github.com/airbnb/lottie-android
halo,halo-dev,34954,9825,2025-03-12T08:39:04Z,GNU General Public License v3.0,https://github.com/halo-dev/halo
glide,bumptech,34806,6149,2025-02-13T19:00:51Z,Other,https://github.com/bumptech/glide
netty,netty,33864,16035,2025-03-12T17:23:24Z,Apache License 2.0,https://github.com/netty/netty
AndroidUtilCode,Blankj,33483,10708,2024-08-15T10:38:10Z,Apache License 2.0,https://github.com/Blankj/AndroidUtilCode
spring-boot-demo,xkcoding,33472,10945,2024-07-24T02:02:52Z,MIT License,https://github.com/xkcoding/spring-boot-demo
leetcode,doocs,33246,8648,2025-03-12T04:15:06Z,Creative Commons Attribution Share Alike 4.0 International,https://github.com/doocs/leetcode
easyexcel,alibaba,33190,7615,2024-10-29T06:07:07Z,Apache License 2.0,https://github.com/alibaba/easyexcel
NewPipe,TeamNewPipe,33178,3153,2025-02-28T10:51:11Z,GNU General Public License v3.0,https://github.com/TeamNewPipe/NewPipe
zxing,zxing,33147,9388,2025-02-10T14:22:04Z,Apache License 2.0,https://github.com/zxing/zxing
selenium,SeleniumHQ,31808,8356,2025-03-12T17:52:42Z,Apache License 2.0,https://github.com/SeleniumHQ/selenium
nacos,alibaba,30975,12971,2025-03-12T08:52:45Z,Apache License 2.0,https://github.com/alibaba/nacos
WxJava,binarywang,30698,8794,2025-03-06T12:56:12Z,Apache License 2.0,https://github.com/binarywang/WxJava
spring-boot-examples,ityouknow,30400,12345,2023-11-18T16:32:16Z,N/A,https://github.com/ityouknow/spring-boot-examples
kafka,apache,29628,14232,2025-03-12T18:43:30Z,Apache License 2.0,https://github.com/apache/kafka
